Game ID, Expected payoff of player1 from approx, Expected payoff of player1 real, epsilon player1, Expected payoff of player2 from approx, Expected payoff of player2 real, epsilon player2, player_1_strategy, player_2_strategy
86, 0.894737, 1.0, 0.105263, 0.921052, 1.0, 0.078947, "[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
87, 0.842105, 1.0, 0.157895, 0.763889, 1.0, 0.236111, "[0.0, 0.0, 0.5, 0.5]", "[0.5, 0.5, 0.0, 0.0, 0.0]"
88, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, "[0.0, 1.0, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
89, 1.0, 0.5, -0.5, 1.0, 0.588235, -0.411765, "[0.0, 1.0, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
90, 1.0, 0.694444, -0.305556, 1.0, 0.546219, -0.453781, "[0.0, 1.0, 0.0, 0.0]", "[0.0, 1.0, 0.0]"
91, 0.605263, 0.526316, -0.078947, 0.631579, 0.621554, -0.010025, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
92, 0.605263, 0.573098, -0.032165, 0.631579, 0.583959, -0.04762, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
93, 0.605263, 0.576728, -0.028535, 0.631579, 0.772743, 0.141164, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
94, 0.605263, 0.578192, -0.027071, 0.631579, 0.706006, 0.074427, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
95, 0.605263, 0.47313, -0.132133, 0.631579, 0.580787, -0.050792, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
